,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
20963,BKBROW,2026-02-01 EST,40.672,-73.898,24,25.4,12.3,18,NA,NA,NA,64.2,38.2,51.5,5.1,0.5,2.9,0,NA,NA,NA,0,NA,NA,36,35.9,36,NA,NA,NA,NA,NA,NA,NA
20964,BKBROW,2026-02-02 EST,40.672,-73.898,24,36.8,16.7,27,NA,NA,NA,55.7,35.1,44.2,13.4,0.5,7.8,0,NA,NA,NA,0,NA,NA,36,35.8,35.9,NA,NA,NA,NA,NA,NA,NA
20965,BKBROW,2026-02-03 EST,40.672,-73.898,24,35.2,23.4,29.8,NA,NA,NA,61.7,42.2,51.1,17.7,9.5,13.8,0,NA,NA,NA,0,NA,NA,36,35.8,35.9,NA,NA,NA,NA,NA,NA,NA
20966,BKBROW,2026-02-04 EST,40.672,-73.898,24,35.1,27.9,32.2,NA,NA,NA,59.6,34.4,46.6,18.8,8.9,13.7,0,NA,NA,NA,0,NA,NA,36.1,36,36,NA,NA,NA,NA,NA,NA,NA
20967,BKBROW,2026-02-05 EST,40.672,-73.898,24,33.8,22.5,28.6,NA,NA,NA,63.5,39.9,50.7,13.8,10.1,12.3,0,NA,NA,NA,0,NA,NA,36,35.6,35.8,NA,NA,NA,NA,NA,NA,NA
20968,BKBROW,2026-02-06 EST,40.672,-73.898,24,33.6,24,28.7,NA,NA,NA,82.1,42.2,56.8,22.9,10.8,15.1,0,NA,NA,NA,0,NA,NA,35.8,35.1,35.5,NA,NA,NA,NA,NA,NA,NA
20969,BKBROW,2026-02-07 EST,40.672,-73.898,24,28.3,7.6,17,NA,NA,NA,83.1,38.6,51.8,23.1,-9.4,1.7,0.002,NA,NA,NA,0,NA,NA,36,35.2,35.8,NA,NA,NA,NA,NA,NA,NA
20970,BKBROW,2026-02-08 EST,40.672,-73.898,24,19.4,5.4,12.4,NA,NA,NA,50,36.1,43.6,-1.3,-10.2,-5.7,0,NA,NA,NA,0,NA,NA,35.2,34.3,34.6,NA,NA,NA,NA,NA,NA,NA
20971,BKBROW,2026-02-09 EST,40.672,-73.898,24,32.5,12.3,23.4,NA,NA,NA,55.2,32.7,42.6,9.9,-2.2,3.5,0,NA,NA,NA,0,NA,NA,34.3,34,34.1,NA,NA,NA,NA,NA,NA,NA
20972,BKBROW,2026-02-10 EST,40.672,-73.898,24,37,25.7,31,NA,NA,NA,83.9,39.3,54.9,31,7.5,16.2,0,NA,NA,NA,0,NA,NA,34,34,34,NA,NA,NA,NA,NA,NA,NA
